Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,,
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,7,Kelvin Smith,219,LB,2009,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Syracuse
2007,7,Brandon Fields,225,P,2015,0,1,0,21,130,0,1,0,0,0,3,0,0,,,0,,,Michigan St.
2007,7,Abraham Wright,238,DE,,0,0,0,,,,,,,,,,,,,,,,Colorado
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,Jason Allen,16,DB,2012,0,0,1,13,98,0,0,0,0,0,,,0,,,0,15,,Tennessee
2006,3,Derek Hagan,82,WR,2014,0,0,0,12,99,0,0,0,0,0,,,0,148,1734,7,,,Arizona St.
2006,4,Joe Toledo,114,T,,0,0,0,,,,,,,,,,,,,,,,Washington
2006,7,Fred Evans,212,DT,2013,0,0,0,9,95,0,0,0,0,0,,,0,,,0,,3.0,Texas St.
2006,7,Rodrique Wright,226,DT,2008,0,0,0,4,13,0,0,0,0,0,,,0,,,0,,1.5,Texas
2006,7,Devin Aromashodu,233,WR,2012,0,0,0,10,61,0,0,0,0,0,,,0,78,1193,5,,,Auburn
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,Ronnie Brown,2,RB,2014,0,1,6,41,132,4,12,63,2,0,1281,5391,38,246,1966,2,,,Auburn
2005,2,Matt Roth,46,DE,2011,0,0,5,27,96,0,0,0,0,0,,,0,,,0,,23.5,Iowa
2005,3,Channing Crowder,70,LB,2010,0,0,6,31,82,0,0,0,0,0,,,0,,,0,1,2.5,Florida
2005,4,Travis Daniels,104,DB,2012,0,0,1,13,107,0,0,0,0,0,,,0,,,0,6,,LSU
2005,5,Anthony Alabi,162,T,2007,0,0,0,1,16,0,0,0,0,0,,,0,,,0,,,TCU
2005,7,Kevin Vickerson,216,DT,2014,0,0,3,21,86,0,0,0,0,0,,,0,,,0,1,6.5,Michigan St.
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,Vernon Carey,19,T,2011,0,0,7,44,121,0,0,0,0,0,,,0,,,0,,,Miami (FL)
2004,4,Will Poole,102,DB,2004,0,0,0,1,15,0,0,0,0,0,,,0,,,0,,1.0,USC
2004,5,Tony Bua,160,LB,2004,0,0,0,1,7,0,0,0,0,0,,,0,,,0,,,Arkansas
2004,6,Rex Hadnot,174,G,2012,0,0,5,35,129,0,0,0,0,0,,,0,0,-2,0,,,Houston
2004,7,Tony Pape,221,G,,0,0,0,,,,,,,,,,,,,,,,Michigan
2004,7,Derrick Pope,222,LB,2007,0,0,1,10,55,0,0,0,0,0,,,0,,,0,2,2.0,Alabama
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,2,Eddie Moore,49,LB,2005,0,0,0,3,18,0,0,0,0,0,,,0,,,0,,,Tennessee
2003,3,Wade Smith,78,T,2014,0,1,6,43,143,0,0,0,0,0,,,0,,,0,,,Memphis
2003,3,Taylor Whitley,87,G,2005,0,0,1,4,18,0,0,0,0,0,,,0,,,0,,,Texas A&M
2003,5,Donald Lee,156,TE,2011,0,0,5,17,133,0,0,0,0,0,,,0,209,1990,19,,,Mississippi St.
2003,5,J.R. Tolver,169,WR,,0,0,0,,,,,,,,,,,,,,,,San Diego St.
2003,6,Corey Jenkins,181,LB,2004,0,0,0,1,23,0,0,0,0,0,,,0,,,0,,,South Carolina
2003,6,Tim Provost,209,T,,0,0,0,,,,,,,,,,,,,,,,San Jose St.
